secID,ticker,SecShortName,reportDate,holdingsecType,holdingSecID,holdingTicker,holdingExchangeCd,holdingsecShortName,holdVolume,marketValue,ratioInNa,publishDate,currencyCd
519674.OFCN,519674,银河创新成长混合,2014-12-31,E,000001.XSHE,000001,XSHE,平安银行,1599944,25343112.96,3.39,2015-01-21,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,000001.XSHE,000001,XSHE,平安银行,1660000,22078000.0,7.68,2018-01-18,CNY
519674.OFCN,519674,银河创新成长混合,2012-12-31,E,000002.XSHE,000002,XSHE,万科A,2020000,20442400.0,2.08,2013-03-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,000002.XSHE,000002,XSHE,万科A,423340,13148940.4,4.57,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2015-06-30,E,000008.XSHE,000008,XSHE,神州高铁,301745,9489880.25,0.82,2015-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2013-12-31,E,000028.XSHE,000028,XSHE,国药一致,187846,8697269.8,0.76,2014-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2013-12-31,E,000049.XSHE,000049,XSHE,德赛电池,309859,21752101.8,1.9,2014-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000063.XSHE,000063,XSHE,中兴通讯,1457840,41227715.2,4.39,2011-07-21,CNY
519674.OFCN,519674,银河创新成长混合,2011-09-30,E,000063.XSHE,000063,XSHE,中兴通讯,2799237,52905579.3,6.56,2011-10-25,CNY
519674.OFCN,519674,银河创新成长混合,2011-12-31,E,000063.XSHE,000063,XSHE,中兴通讯,2199912,37178512.8,5.03,2012-01-18,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,000063.XSHE,000063,XSHE,中兴通讯,280000,10180800.0,3.54,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2018-03-31,E,000063.XSHE,000063,XSHE,中兴通讯,270000,8140500.0,3.23,2018-04-23,CNY
519674.OFCN,519674,银河创新成长混合,2018-12-31,E,000063.XSHE,000063,XSHE,中兴通讯,335000,6562650.0,5.31,2019-01-22,CNY
519674.OFCN,519674,银河创新成长混合,2019-03-31,E,000063.XSHE,000063,XSHE,中兴通讯,530000,15476000.0,7.63,2019-04-18,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,000063.XSHE,000063,XSHE,中兴通讯,400000,13012000.0,7.43,2019-07-18,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,000066.XSHE,000066,XSHE,中国长城,349904,3597013.12,2.05,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2012-12-31,E,000100.XSHE,000100,XSHE,TCL科技,6000000,13140000.0,1.34,2013-03-29,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000157.XSHE,000157,XSHE,中联重科,949890,14609308.2,1.55,2011-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2012-06-30,E,000157.XSHE,000157,XSHE,中联重科,800000,8024000.0,1.08,2012-08-23,CNY
519674.OFCN,519674,银河创新成长混合,2014-12-31,E,000157.XSHE,000157,XSHE,中联重科,1600000,11296000.0,1.51,2015-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,000333.XSHE,000333,XSHE,美的集团,60000,3325800.0,1.16,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,000338.XSHE,000338,XSHE,潍柴动力,599900,5975004.0,2.61,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,000338.XSHE,000338,XSHE,潍柴动力,720000,9504000.0,3.98,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-09-30,E,000338.XSHE,000338,XSHE,潍柴动力,1560000,11684400.0,4.04,2017-10-26,CNY
519674.OFCN,519674,银河创新成长混合,2013-06-30,E,000400.XSHE,000400,XSHE,许继电气,500000,13540000.0,1.31,2013-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2014-12-31,E,000411.XSHE,000411,XSHE,英特集团,399903,8545927.11,1.14,2015-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2015-06-30,E,000411.XSHE,000411,XSHE,英特集团,600903,21302011.35,1.85,2015-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2011-03-31,E,000423.XSHE,000423,XSHE,东阿阿胶,699923,30159682.07,2.82,2011-04-20,CNY
519674.OFCN,519674,银河创新成长混合,2011-06-30,E,000423.XSHE,000423,XSHE,东阿阿胶,500000,20630000.0,2.19,2011-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2011-09-30,E,000423.XSHE,000423,XSHE,东阿阿胶,849922,35263263.78,4.38,2011-10-25,CNY
519674.OFCN,519674,银河创新成长混合,2011-12-31,E,000423.XSHE,000423,XSHE,东阿阿胶,1249867,53681787.65,7.26,2012-01-18,CNY
519674.OFCN,519674,银河创新成长混合,2012-03-31,E,000423.XSHE,000423,XSHE,东阿阿胶,800000,32256000.0,4.47,2012-04-24,CNY
519674.OFCN,519674,银河创新成长混合,2012-12-31,E,000423.XSHE,000423,XSHE,东阿阿胶,1159869,46870306.29,4.77,2013-01-22,CNY
519674.OFCN,519674,银河创新成长混合,2013-03-31,E,000423.XSHE,000423,XSHE,东阿阿胶,998525,52023152.5,5.71,2013-04-19,CNY
519674.OFCN,519674,银河创新成长混合,2011-03-31,E,000425.XSHE,000425,XSHE,徐工机械,799810,22146738.9,2.07,2011-04-20,CNY
519674.OFCN,519674,银河创新成长混合,2014-12-31,E,000425.XSHE,000425,XSHE,徐工机械,750000,11227500.0,1.5,2015-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2014-06-30,E,000513.XSHE,000513,XSHE,丽珠集团,149936,7081477.28,0.81,2014-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2014-09-30,E,000513.XSHE,000513,XSHE,丽珠集团,336259,17747750.02,2.01,2014-10-24,CNY
519674.OFCN,519674,银河创新成长混合,2014-06-30,E,000516.XSHE,000516,XSHE,国际医学,499988,3359919.36,0.38,2014-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2013-06-30,E,000525.XSHE,000525,XSHE,红太阳,149834,2246011.66,0.22,2013-08-28,CNY
